dataset,lmbda,cluster_option,L,convergence_iter,optimum,time,seed,energy_list_file
Synthetic,10,kmedian,0.0001,4,290.0294137310311,0.11489320000000092,9,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=9.txt
Synthetic,10,kmedian,0.0001,4,0.0,0.10698790000000002,10,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.0001__lmb=10__seed=10.txt
Synthetic,10,kmeans,0.0001,4,373.44601767942413,0.14390130000000134,1,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=1.txt
Synthetic,10,kmeans,0.0001,3,0.0,0.10948319999999967,2,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=2.txt
Synthetic,10,kmeans,0.0001,6,369.85578407459406,0.14555589999999974,3,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=3.txt
Synthetic,10,kmeans,0.0001,3,0.0,0.1332310999999997,4,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=4.txt
Synthetic,10,kmeans,0.0001,8,370.2859908102199,0.11940230000000085,5,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=5.txt
Synthetic,10,kmeans,0.0001,5,368.9509367164592,0.1641931000000003,6,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=6.txt
Synthetic,10,kmeans,0.0001,7,367.59690614585406,0.1440310999999994,7,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=7.txt
Synthetic,10,kmeans,0.0001,3,373.2395175576885,0.12043919999999986,8,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=8.txt
Synthetic,10,kmeans,0.0001,4,369.83868398342645,0.17190369999999966,9,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=9.txt
Synthetic,10,kmeans,0.0001,4,0.0,0.11946230000000035,10,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.0001__lmb=10__seed=10.txt
Synthetic,10,ncut,0.0001,5,-1.5299999999999892e+18,0.15722280000000133,1,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=1.txt
Synthetic,10,ncut,0.0001,4,-1.9999999999999862e+18,0.16293860000000038,2,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=2.txt
Synthetic,10,ncut,0.0001,4,0.0,0.12576579999999993,3,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=3.txt
Synthetic,10,ncut,0.0001,4,-1.9999999999999862e+18,0.18444039999999973,4,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=4.txt
Synthetic,10,ncut,0.0001,4,0.0,0.13333120000000065,5,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=5.txt
Synthetic,10,ncut,0.0001,4,0.0,0.13189150000000005,6,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=6.txt
Synthetic,10,ncut,0.0001,5,-1.9999999999999862e+18,0.18888579999999955,7,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=7.txt
Synthetic,10,ncut,0.0001,3,-2.0,0.13286850000000072,8,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=8.txt
Synthetic,10,ncut,0.0001,5,-1.9999999999999862e+18,0.18066409999999955,9,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=9.txt
Synthetic,10,ncut,0.0001,4,0.0,0.1654580999999986,10,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.0001__lmb=10__seed=10.txt
Synthetic,10,kmedian,0.001,6,290.7965779438123,0.1417995000000012,1,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=1.txt
Synthetic,10,kmedian,0.001,4,-7.549999999999941e+17,0.20893689999999943,2,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=2.txt
Synthetic,10,kmedian,0.001,9,293.8729533407525,0.16404320000000006,3,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=3.txt
Synthetic,10,kmedian,0.001,4,-9.499999999999926e+17,0.14253219999999978,4,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=4.txt
Synthetic,10,kmedian,0.001,6,288.6721121524339,0.20897380000000076,5,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=5.txt
Synthetic,10,kmedian,0.001,11,288.94283172424923,0.15551900000000174,6,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=6.txt
Synthetic,10,kmedian,0.001,6,290.316532571823,0.18373650000000197,7,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=7.txt
Synthetic,10,kmedian,0.001,3,295.8886530943578,0.1856094000000006,8,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=8.txt
Synthetic,10,kmedian,0.001,13,289.95201611083087,0.15903899999999993,9,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=9.txt
Synthetic,10,kmedian,0.001,8,290.98957231121835,0.22336569999999867,10,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.001__lmb=10__seed=10.txt
Synthetic,10,kmeans,0.001,5,373.4460292731286,0.15754009999999852,1,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=1.txt
Synthetic,10,kmeans,0.001,3,0.0,0.15707060000000084,2,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=2.txt
Synthetic,10,kmeans,0.001,7,369.9435832403708,0.22281380000000084,3,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=3.txt
Synthetic,10,kmeans,0.001,3,0.0,0.15680879999999675,4,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.001__lmb=10__seed=4.txt
